id,lactnum,dinmilk,datehosp,teat,trtflag,cultflag,mastflag,culttype,datehosp2,trtremast
7,1,171,2021-02-22,RF,0,0,0,NG,,
38,4,157,2021-02-28,RR,1,1,1,GP,,
86,2,242,2021-03-25,LF,1,1,1,GP,,
27996,7,181,2021-01-26,RF,1,1,1,GP,2021-01-29,SPECT5RF
27996,7,196,2021-02-10,RF,1,1,1,GP,2021-01-29,SPECT5RF
30042,7,78,2021-03-15,RF,0,0,0,NG,,
32610,6,16,2021-03-07,LR,1,1,1,GP,,
32878,6,12,2021-03-31,LR,0,0,0,NG,,
33083,5,336,2021-03-20,BLOOD,0,0,0,NG,,
33083,5,349,2021-04-02,LR,0,0,0,NG,,
33216,6,71,2021-02-11,RF,1,1,1,GN,2021-02-14,SPECT5RF
33216,6,71,2021-02-11,RF,1,1,1,GN,2021-02-22,SPECT5RF
33492,5,175,2021-01-22,RR,1,1,1,GP,,
33559,5,191,2021-02-05,RR,0,0,0,NG,,
33671,5,20,2021-03-12,LF,1,1,1,GN,2021-03-15,SPECT5
33671,5,20,2021-03-12,LF,1,1,1,GN,2021-03-31,SPECT5LF
33671,5,36,2021-03-28,LF,1,1,1,GP,2021-03-15,SPECT5
33671,5,36,2021-03-28,LF,1,1,1,GP,2021-03-31,SPECT5LF
33739,5,25,2021-03-03,RR,1,1,1,GP,,
33893,5,158,2021-02-16,RF,1,1,1,GP,,
33902,4,409,2021-04-06,LR,1,1,1,GN,,
33919,5,38,2021-02-10,RR,1,1,1,GP,2021-02-13,SPECT5RR
33950,5,135,2021-03-01,RR,0,0,0,NG,,
34172,5,147,2021-01-20,LF,1,1,1,GN,,
34394,5,246,2021-03-23,LR,0,0,0,NG,,
34409,5,29,2021-01-08,LF,1,1,1,GP,,
34409,5,82,2021-03-02,LF,0,0,0,NG,,
34493,5,222,2021-02-20,LR,0,0,0,NG,2021-02-26,SPECT5LF
34510,5,183,2021-03-04,RR,1,1,1,GP,,
34715,5,222,2021-02-13,RR,1,1,1,GN,,
34715,5,261,2021-03-24,RR,0,0,0,NG,,
34715,5,272,2021-04-04,RR,1,1,1,GN,,
34717,5,177,2021-03-30,RF,1,1,1,GP,,
34786,5,128,2021-01-18,RF,1,1,1,GP,2021-01-21,SPECT5RF
34791,5,94,2021-01-07,LF,0,0,0,NG,,
34794,4,229,2021-02-18,LR,0,0,0,NG,,
34833,5,57,2021-02-16,LF,0,0,0,NG,,
34833,5,82,2021-03-13,RF,0,0,0,NG,,
34833,5,98,2021-03-29,RF,1,1,1,GP,,
34958,5,250,2021-03-10,LF,0,0,0,NG,,
35046,5,93,2021-03-13,RR,1,1,1,GN,2021-03-16,SPECT5RR
35056,5,175,2021-02-02,RR,0,0,0,NG,,
35056,5,203,2021-03-02,RR,0,0,0,NG,,
35085,5,62,2021-03-10,LF,1,1,1,GN,,
35144,5,202,2021-03-25,LF,1,1,1,GP,,
35160,5,103,2021-04-02,LF,1,1,1,GP,,
35161,5,85,2021-01-08,LR,1,1,1,MX,2021-01-11,SPECT5LR
35161,5,140,2021-03-04,RF,1,1,1,GP,2021-01-11,SPECT5LR
35180,4,249,2021-03-28,LR,1,1,1,GN,,
35215,5,72,2021-02-28,LR,1,1,1,GP,,
35215,5,99,2021-03-27,LR,1,1,1,MX,,
35228,4,151,2021-02-09,LF,1,1,1,GP,,
35257,5,169,2021-01-12,LF,0,0,0,NG,,
35316,5,58,2021-01-07,RF,1,1,1,GP,2021-01-11,SPECT5RF
35316,5,117,2021-03-07,LF,1,1,1,MX,2021-01-11,SPECT5RF
35351,4,198,2021-01-29,LF,1,1,1,MX,2021-02-01,SPECT5LF
35351,4,209,2021-02-09,LF,0,0,0,NG,2021-02-01,SPECT5LF
35398,5,74,2021-02-23,LR,1,1,1,GP,,
35601,4,327,2021-01-02,LF,1,1,1,GP,,
35601,4,352,2021-01-27,LF,1,1,1,GP,,
35662,5,54,2021-02-18,RR,0,0,0,NG,,
35662,5,,2021-03-08,,0,0,0,NG,,
35808,5,14,2021-02-02,LR,0,0,0,NG,2021-02-05,SPECT5LR
35847,5,130,2021-02-27,LR,0,0,0,NG,,
36138,4,324,2021-03-05,LR,0,0,0,NG,,
36168,5,110,2021-03-12,RF,1,1,1,GN,2021-03-15,SPECT5RF
36360,4,97,2021-03-19,LF,1,1,1,GN,2021-03-23,SPECT5LF
36360,4,109,2021-03-31,LR,0,0,0,NG,2021-03-23,SPECT5LF
36364,5,1,2021-03-25,LF,1,1,1,GP,,
36407,4,174,2021-02-11,LF,1,1,1,GP,,
36426,4,150,2021-03-04,RF,1,1,1,GN,2021-03-07,SPECT5RF
36461,4,169,2021-01-20,RF,1,1,1,GN,,
36464,4,176,2021-01-13,LR,0,0,0,NG,,
36467,5,77,2021-03-05,LF,0,0,0,NG,,
36528,4,128,2021-03-14,LR,1,1,1,GN,,
36528,4,142,2021-03-28,LF,0,0,0,NG,,
36596,4,82,2021-01-08,RF,1,1,1,MX,2021-01-11,SPECT5RF
36600,4,271,2021-04-03,LF,1,1,1,GP,,
36624,4,202,2021-01-26,RF,0,0,0,NG,,
36629,4,157,2021-02-13,RF,1,1,1,GN,,
36634,4,147,2021-01-15,RF,1,1,1,GN,2021-01-18,SPECT5RF
36730,4,162,2021-02-17,LF,1,1,1,MX,2021-02-20,SPECT5LF
36733,4,37,2021-01-27,LF,0,0,0,NG,,
36799,4,124,2021-02-19,LR,0,0,0,NG,,
36812,3,,2021-03-08,,0,0,0,NG,,
36826,4,190,2021-02-02,RF,0,0,0,NG,,
36843,4,142,2021-03-11,RR,1,1,1,GP,,
36852,4,170,2021-03-27,LR,1,1,1,GN,,
36875,4,170,2021-02-03,RR,0,0,0,NG,2021-02-12,SPECT5RR
36915,4,109,2021-01-08,RF,1,1,1,GP,,
36916,4,154,2021-01-13,BLOOD,0,0,0,NG,,
37018,4,51,2021-03-15,LR,0,0,0,NG,,
37091,4,18,2021-01-05,RF,1,1,1,GP,2021-01-08,SPECT5RF
37091,4,18,2021-01-05,RF,1,1,1,GP,2021-02-28,SPECT5RF
37091,4,69,2021-02-25,RF,1,1,1,GP,2021-01-08,SPECT5RF
37091,4,69,2021-02-25,RF,1,1,1,GP,2021-02-28,SPECT5RF
37094,4,217,2021-01-27,LF,1,1,1,GP,,
37172,4,246,2021-01-21,LR,1,1,1,GP,2021-01-24,SPECT5LR
37184,4,178,2021-03-13,RF,1,1,1,GP,,
37187,4,155,2021-01-20,RF,1,1,1,GP,,
37187,4,196,2021-03-02,RF,1,1,1,GP,,
37187,4,231,2021-04-06,LR,0,0,0,NG,,
37216,4,200,2021-02-18,LR,0,0,0,NG,,
37216,4,223,2021-03-13,RR,0,0,0,NG,,
37221,4,255,2021-03-22,RR,0,0,0,NG,,
37322,4,100,2021-03-03,RF,1,1,1,GN,2021-03-06,SPECT5RF
37350,4,144,2021-02-16,LF,1,1,1,GP,2021-02-19,SPECT5LF
37376,4,162,2021-01-09,LF,1,1,1,GP,,
37403,4,147,2021-01-14,RR,0,0,0,NG,2021-01-27,SPECT5RR
37403,4,157,2021-01-24,RR,1,1,1,GP,2021-01-27,SPECT5RR
37403,4,194,2021-03-02,RR,0,0,0,NG,2021-01-27,SPECT5RR
37412,3,360,2021-02-21,LF,1,1,1,GP,,
37417,4,127,2021-01-26,LF,1,1,1,GP,,
37429,4,135,2021-02-11,RR,0,0,0,NG,,
37432,4,21,2021-01-16,LF,0,0,0,NG,,
37527,4,120,2021-02-03,LF,0,0,0,NG,,
37634,4,15,2021-03-19,LF,0,0,0,NG,,
37647,4,106,2021-01-08,LF,1,1,1,GP,2021-01-11,SPECT5LF
37647,4,191,2021-04-03,LF,0,0,0,NG,2021-01-11,SPECT5LF
37648,4,78,2021-03-06,RF,1,1,1,GN,2021-03-09,SPECT5RF
37648,4,99,2021-03-27,LR,1,1,1,GP,2021-03-09,SPECT5RF
37693,4,180,2021-01-23,LF,0,0,0,NG,,
37693,4,219,2021-03-03,LF,1,1,1,GP,,
37696,4,59,2021-03-24,RR,1,1,1,GN,,
37758,4,91,2021-01-21,LR,1,1,1,GP,2021-01-24,SPECT5LR
37769,4,90,2021-03-23,RF,0,0,0,NG,,
37818,4,157,2021-03-02,LF,1,1,1,GP,2021-03-05,SPECT5LF
37846,4,181,2021-02-16,LR,0,0,0,NG,,
37925,4,21,2021-02-20,LR,1,1,1,GP,,
38000,4,162,2021-01-26,RF,0,0,0,NG,,
38000,4,191,2021-02-24,RF,1,1,1,GP,,
38000,4,,2021-03-21,,1,1,1,GP,,
38008,4,182,2021-02-10,RR,1,1,1,GP,,
38073,4,220,2021-02-11,RR,0,0,0,NG,,
38073,4,244,2021-03-07,LR,0,0,0,NG,,
38073,4,269,2021-04-01,LR,1,1,1,GN,,
38086,3,138,2021-01-26,RR,0,0,0,NG,2021-02-18,SPECT5LF
38086,3,158,2021-02-15,LR,1,1,1,GP,2021-02-18,SPECT5LF
38156,4,160,2021-03-05,LF,1,1,1,MX,,
38203,4,223,2021-03-27,LF,0,0,0,NG,,
38215,4,38,2021-03-23,RR,1,1,1,GP,2021-03-12,SPECT5RR
38215,4,38,2021-03-23,RR,1,1,1,GP,2021-03-26,SPECT5RR
38223,4,162,2021-02-03,LR,0,0,0,NG,2021-03-02,SPECT5RF
38223,4,186,2021-02-27,RF,1,1,1,GP,2021-03-02,SPECT5RF
38230,4,78,2021-02-11,RR,1,1,1,GN,,
38231,4,66,2021-02-02,RR,1,1,1,GN,,
38250,4,100,2021-03-19,LR,1,1,1,GN,,
38300,4,51,2021-01-03,RF,1,1,1,GP,,
38301,4,23,2021-02-06,LF,1,1,1,GP,,
38338,4,26,2021-04-01,RF,0,0,0,NG,,
38350,3,232,2021-02-05,LR,1,1,1,MX,,
38379,4,63,2021-03-02,RR,0,0,0,NG,,
38384,3,171,2021-01-28,RR,1,1,1,GN,,
38402,3,239,2021-02-05,RF,1,1,1,GP,,
38402,3,253,2021-02-19,LF,1,1,1,GN,,
38434,4,99,2021-02-16,LR,1,1,1,GP,,
38439,4,13,2021-01-05,RR,1,1,1,GP,2021-01-08,SPECT5RR
38439,4,13,2021-01-05,RR,1,1,1,GP,2021-03-26,SPECT5LR
38439,4,69,2021-03-02,RR,0,0,0,NG,2021-01-08,SPECT5RR
38439,4,69,2021-03-02,RR,0,0,0,NG,2021-03-26,SPECT5LR
38439,4,90,2021-03-23,LR,1,1,1,GP,2021-01-08,SPECT5RR
38439,4,90,2021-03-23,LR,1,1,1,GP,2021-03-26,SPECT5LR
38458,3,150,2021-01-30,LF,1,1,1,GP,,
38458,3,162,2021-02-11,LF,1,1,1,GP,,
38458,3,183,2021-03-04,LF,1,1,1,GP,,
38459,4,54,2021-03-12,RF,1,1,1,GN,,
38488,4,116,2021-03-28,LF,1,1,1,GP,,
38506,4,46,2021-01-28,RF,0,0,0,NG,,
38521,3,363,2021-04-01,RR,1,1,1,GP,,
38535,3,196,2021-03-07,LF,0,0,0,NG,2021-01-13,SPECT5LF
38535,3,196,2021-03-07,LF,0,0,0,NG,2021-01-22,SPECT5LF
38535,3,221,2021-04-01,LF,0,0,0,NG,2021-01-13,SPECT5LF
38535,3,221,2021-04-01,LF,0,0,0,NG,2021-01-22,SPECT5LF
38551,4,105,2021-02-06,RF,1,1,1,GN,,
38564,4,39,2021-01-23,RF,1,1,1,MX,2021-01-26,SPECT5RF
38580,3,211,2021-01-12,RF,1,1,1,GP,,
38580,3,246,2021-02-16,RF,1,1,1,GP,,
38663,4,92,2021-02-22,RF,1,1,1,GP,,
38687,4,12,2021-01-07,LR,1,1,1,GP,,
38759,3,135,2021-01-07,LF,1,1,1,GP,,
38848,3,237,2021-01-25,LF,0,0,0,NG,,
38850,3,57,2021-02-11,LR,0,0,0,NG,,
38850,3,71,2021-02-25,LR,1,1,1,GP,,
38850,3,108,2021-04-03,LR,1,1,1,GP,,
38862,4,14,2021-03-30,LF,1,1,1,GN,2021-04-02,SPECT5
38953,3,144,2021-01-08,RR,0,0,0,NG,,
39062,4,31,2021-03-01,RF,1,1,1,GP,,
39074,3,117,2021-01-08,LR,1,1,1,GP,2021-01-11,SPECT5LR
39081,3,204,2021-01-12,RF,1,1,1,GP,,
39086,3,182,2021-02-22,LF,1,1,1,GP,,
39091,4,27,2021-03-19,RF,0,0,0,NG,,
39182,3,154,2021-01-08,LR,1,1,1,GP,,
39201,3,220,2021-01-07,LF,0,0,0,NG,,
39226,3,,2020-12-31,,1,1,1,GP,2021-01-12,SPECT5RR
39256,3,145,2021-01-01,RF,1,1,1,GP,,
39256,3,160,2021-01-16,RF,1,1,1,GP,,
39256,3,171,2021-01-27,RF,0,0,0,NG,,
39331,3,213,2021-02-16,RF,1,1,1,GP,,
39331,3,233,2021-03-08,RF,1,1,1,GP,,
39341,3,135,2021-01-08,LF,0,0,0,NG,,
39344,3,107,2021-02-12,LR,0,0,0,NG,,
39354,3,207,2021-03-23,LF,0,0,0,NG,,
39376,3,128,2021-01-07,RF,1,1,1,GP,2021-01-10,SPECT5RF
39376,3,142,2021-01-21,RF,0,0,0,NG,2021-01-10,SPECT5RF
39378,3,33,2021-03-03,LR,0,0,0,NG,2021-02-04,SPECT5LR
39385,3,70,2021-03-19,RF,1,1,1,GN,,
39399,3,160,2021-01-28,RF,1,1,1,GP,,
39434,3,172,2021-04-06,RF,0,0,0,NG,,
39467,3,,2020-12-31,,1,1,1,GP,,
39467,3,95,2021-03-10,LF,0,0,0,NG,,
39470,3,94,2021-01-07,LF,0,0,0,NG,2021-01-21,SPECT5RF
39470,3,105,2021-01-18,RF,1,1,1,GP,2021-01-21,SPECT5RF
39523,3,141,2021-01-29,RF,1,1,1,GP,,
39527,3,90,2021-01-21,RF,1,1,1,MX,2021-01-24,SPECT5RF
39542,3,102,2021-01-27,LR,0,0,0,NG,,
39554,3,297,2021-03-24,RR,1,1,1,GN,2021-03-27,SPECT5RR
39582,3,,2020-12-31,,1,1,1,GP,,
39600,3,179,2021-03-25,RF,0,0,0,NG,,
39607,3,140,2021-01-27,LF,1,1,1,GP,2021-02-11,SPECT5LF
39607,3,152,2021-02-08,LF,0,0,0,NG,2021-02-11,SPECT5LF
39607,3,174,2021-03-02,LF,1,1,1,MX,2021-02-11,SPECT5LF
39626,3,149,2021-01-19,RR,1,1,1,GP,,
39636,3,85,2021-02-02,LF,0,0,0,NG,,
39636,3,144,2021-04-02,RF,1,1,1,GP,,
39653,3,188,2021-01-20,RF,1,1,1,GN,,
39662,3,95,2021-03-11,LR,0,0,0,NG,,
39673,3,190,2021-01-16,LR,0,0,0,NG,,
39674,3,3,2021-02-26,RR,1,1,1,MX,,
39678,3,224,2021-02-15,LF,1,1,1,GP,,
39678,3,241,2021-03-04,LF,0,0,0,NG,,
39697,3,130,2021-01-08,LR,0,0,0,NG,,
39715,3,205,2021-02-02,RF,1,1,1,GP,2021-02-05,SPECT5RR
39727,3,88,2021-01-25,LR,1,1,1,GP,2021-01-28,SPECT5LR
39727,3,88,2021-01-25,LR,1,1,1,GP,2021-02-22,SPECT5LR
39727,3,113,2021-02-19,LR,1,1,1,GP,2021-01-28,SPECT5LR
39727,3,113,2021-02-19,LR,1,1,1,GP,2021-02-22,SPECT5LR
39738,3,234,2021-02-26,RR,0,0,0,NG,,
39764,3,,2020-12-31,,1,1,1,GP,2021-01-03,SPECT5LF
39768,3,120,2021-02-09,RR,1,1,1,GN,,
39816,2,381,2021-01-12,RF,0,0,0,NG,,
39845,3,129,2021-01-09,RR,1,1,1,MX,,
39853,3,224,2021-01-21,LR,1,1,1,GP,,
39869,3,195,2021-04-01,RF,0,0,0,NG,,
39874,3,97,2021-01-25,RF,1,1,1,GP,,
39888,3,70,2021-01-08,RR,1,1,1,GP,,
39963,3,199,2021-03-06,RR,1,1,1,GP,,
39986,3,111,2021-01-05,LF,1,1,1,GP,2021-01-08,SPECT5LF
40001,3,115,2021-03-04,LR,0,0,0,NG,,
40040,3,215,2021-04-01,RF,0,0,0,NG,,
40051,3,168,2021-01-15,RR,0,0,0,NG,,
40057,3,105,2021-02-15,LF,0,0,0,NG,,
40077,3,160,2021-01-06,RR,0,0,0,NG,,
40089,3,158,2021-02-14,LR,0,0,0,NG,,
40089,3,175,2021-03-03,LF,0,0,0,NG,,
40097,3,84,2021-01-16,RR,0,0,0,NG,,
40151,3,151,2021-02-15,RF,0,0,0,NG,2021-02-27,SPECT5LF
40151,3,171,2021-03-07,LR,0,0,0,NG,2021-02-27,SPECT5LF
40170,3,96,2021-02-15,RF,1,1,1,GP,,
40184,3,212,2021-03-27,RF,0,0,0,NG,,
40188,3,234,2021-04-06,RF,1,1,1,GN,,
40191,3,207,2021-01-12,LF,1,1,1,GP,,
40210,3,88,2021-01-12,LF,1,1,1,GP,,
40213,3,99,2021-01-15,LR,1,1,1,GP,,
40229,3,115,2021-02-05,RR,1,1,1,GN,,
40229,3,135,2021-02-25,LR,1,1,1,GP,,
40229,3,146,2021-03-08,RR,1,1,1,GP,,
40229,3,172,2021-04-03,RR,0,0,0,NG,,
40252,3,174,2021-01-21,RF,1,1,1,GP,2021-01-24,SPECT5RF
40262,3,78,2021-02-02,LF,1,1,1,GP,2021-02-05,SPECT5LF
40262,3,92,2021-02-16,LF,1,1,1,GP,2021-02-05,SPECT5LF
40263,3,98,2021-01-23,LF,1,1,1,GN,,
40263,3,111,2021-02-05,LF,1,1,1,GP,,
40292,3,3,2021-03-18,LF,1,1,1,MX,2021-04-01,SPECT5LF
40292,3,14,2021-03-29,LF,1,1,1,GP,2021-04-01,SPECT5LF
40304,3,170,2021-01-05,RR,1,1,1,GP,,
40324,3,200,2021-02-16,LR,1,1,1,GP,,
40324,3,225,2021-03-13,RF,1,1,1,GP,,
40342,3,24,2021-01-28,RR,0,0,0,NG,,
40342,3,88,2021-04-02,RR,0,0,0,NG,,
40371,3,221,2021-03-02,LF,1,1,1,GP,,
